RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,0,11,XX,19,162233.97000,20,170772,17077.2600000,0,0,0,4,34154.53000,39000.00,0,0,0,3545.45000,0,0,0,0,8538.63,0,0.610000,35.00,298852.05000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,0,11,XX,5,42710.55000,22,187851,18784.9900000,0,0,0,17,145172.09000,166300.00,0,0,0,15118.18000,0,0,0,0,8538.94,0,-0.060000,10.00,85389.40000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,0,12,XX,17,133525.82000,0,0,0,0,0,0,4,31417.83000,37200.00,0,0,0,3381.82000,0,0,0,0,7854.46,0,-0.010000,13.00,102107.98000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,0,4,XX,9,53811.63000,0,0,0,0,0,0,4,23916.27000,38000.00,0,0,0,3454.55000,0,0,0,0,5979.07,0,-0.010000,5.00,29895.35000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,56,XX,0,0,24,458006,45800.5800000,0,0,0,24,458005.75000,494400.00,1,19084.00000,22900.00,42863.45000,0,0,0,0,19083.57,0,-0.680000,1.00,19083.57000,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,5,77772.80000,0,0,0,0,0,0,1,15554.56000,21100.00,0,0,0,1918.18000,0,0,0,0,15554.56,0,0.000000,4.00,62218.24000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,0,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,0,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,0,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,0,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,0,12,XX,3,28757.76000,24,241395,24139.5600000,0,0,0,14,137461.73000,158200.00,0,0,0,14381.82000,0,0,0,0,10207.05,0,0.620000,13.00,132691.65000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,0,13,XX,34,284598.36000,0,0,0,0,0,0,10,83705.43000,127000.00,0,0,0,11545.45000,0,0,0,0,8370.54,0,0.030000,24.00,200892.96000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,0,3,XX,4,65150.56000,1,16325,1632.5100000,0,0,0,2,32584.64000,42200.00,0,0,0,3836.36000,0,0,0,0,16297.00,0,0.080000,3.00,48891.00000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,4,37013.76000,12,111042,11104.1300000,0,0,0,13,120294.72000,173300.00,0,0,0,15754.55000,0,0,0,0,9253.44,0,-0.720000,3.00,27760.32000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,5,61515.50000,4,49192,4919.3000000,0,0,0,5,61507.21000,81500.00,0,0,0,7409.09000,0,0,0,0,12300.32,0,0.990000,4.00,49201.28000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,4,XX,7,192563.07000,6,164858,16485.8800000,0,0,0,9,247488.24000,340200.00,0,0,0,30927.27000,0,0,0,0,27483.41,0,0.810000,4.00,109933.64000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000103,011105,0,9,XX,5,66295.75000,8,106074,10607.3200000,0,0,0,9,119332.35000,170100.00,0,0,0,15463.64000,0,0,0,0,13259.15,0,-0.800000,4.00,53036.60000,,,,Y,Y,0,1,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,0,12,XX,6,41644.56000,24,166572,16657.1100000,0,0,0,28,194334.78000,271600.00,0,0,0,24690.91000,0,0,0,0,6940.46,0,-0.860000,2.00,13880.92000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,0,9,XX,4,23028.44000,20,116055,11605.5600000,0,0,0,14,81056.24000,110600.00,0,0,0,10054.55000,0,0,0,0,5802.78,0,0.600000,10.00,58027.80000,,,,Y,Y,0,10,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000116,010706,0,9,XX,15,179282.10000,0,0,0,0,0,0,5,59760.69000,81400.00,0,0,0,7400.00000,0,0,0,0,11952.14,0,-0.020000,10.00,119521.40000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000117,010706,3,3,XX,2,18144.24000,3,27944,2794.3300000,0,0,0,3,27539.45000,36300.00,0,0,0,3300.00000,0,0,0,0,9274.05,0,-0.690000,2.00,18548.10000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000120,032502,0,8,XX,4,11097.60000,0,0,0,0,0,0,1,2774.40000,4900.00,0,0,0,445.45000,0,0,0,0,2774.40,0,-0.000000,3.00,8323.20000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,0,6,XX,4,65373.32000,2,32600,3259.9200000,0,0,0,4,65334.45000,92800.00,0,0,0,8436.36000,0,0,0,0,16319.04,0,-0.790000,2.00,32638.08000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,0,20,XX,79,594584.02000,6,45087,4508.6600000,0,0,0,36,270949.75000,360000.00,0,0,0,32727.27000,0,0,0,0,7524.92,0,-0.190000,49.00,368721.08000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000129,010108,0,8,XX,5,37615.65000,15,112845,11284.5200000,0,0,0,13,97799.74000,130000.00,0,0,0,11818.18000,0,0,0,0,7523.01,0,0.160000,7.00,52661.07000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
