RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,8,11,XX,10,85384.50000,30,256158,25615.9000000,0,0,0,26,222002.59000,249400.00,0,0,0,22672.73000,0,0,0,0,8538.63,0,0.910000,14.00,119540.82000,D,,,Y,Y,0,1,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,4,8,XX,4,34154.52000,26,222005,22200.4400000,0,0,0,25,213465.80000,244700.00,0,0,0,22245.45000,0,0,0,0,8538.63,0,-0.570000,5.00,42693.15000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,4,17,XX,169,1327873.56000,0,0,0,0,0,0,60,471434.28000,560700.00,0,0,0,50972.73000,0,0,0,0,7857.24,0,-0.120000,109.00,856439.16000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,8,4,XX,5,28989.85000,0,0,0,0,0,0,1,5797.97000,9500.00,0,0,0,863.64000,0,0,0,0,5797.97,0,-0.000000,4.00,23191.88000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,17,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17929.99,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,2,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,4,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,15,XX,29,278234.12000,8,82388,8238.8300000,0,0,0,14,135154.56000,158200.00,0,0,0,14381.82000,0,0,0,0,9802.95,0,0.290000,23.00,225467.85000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
