RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,8,11,XX,18,153665.46000,15,128079,12807.9500000,0,0,0,10,85374.23000,97500.00,0,0,0,8863.64000,0,0,0,0,8537.85,0,0.320000,23.00,196370.55000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,8,7,XX,5,42780.00000,6,51231,5123.1800000,0,0,0,7,59835.99000,67700.00,0,0,0,6154.55000,0,0,0,0,8543.95,0,0.790000,4.00,34175.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,6,12,XX,37,291040.52000,0,0,0,1,7843,784,9,70793.67000,83100.00,2,15732.00000,18800.00,5845.55000,0,0,0,0,7865.96,0,-23.010000,29.00,228112.84000,S,,,Y,Y,7843,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,4,16,XX,21,400754.97000,0,0,0,0,0,0,21,400755.03000,374100.00,0,0,0,34009.09000,0,0,0,0,19083.57,0,0.060000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,7,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,14,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,16,12,XX,4,38360.28000,24,241395,24139.5600000,0,0,0,15,147150.81000,169500.00,0,0,0,15409.09000,0,0,0,0,10200.39,0,0.600000,13.00,132605.07000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,9,13,XX,7,58102.73000,8,66318,6631.8500000,0,0,0,10,82964.63000,127000.00,0,0,0,11545.45000,0,0,0,0,8291.33,0,0.550000,5.00,41456.65000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,2,3,XX,3,48975.30000,0,0,0,0,0,0,1,16325.10000,21100.00,0,0,0,1918.18000,0,0,0,0,16325.10,0,0,2.00,32650.20000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,3,27760.32000,12,111042,11104.1300000,0,0,0,10,92534.40000,134400.00,0,0,0,12218.18000,0,0,0,0,9253.44,0,-0.720000,5.00,46267.20000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,9,110816.91000,0,0,0,0,0,0,3,36938.98000,48900.00,0,0,0,4445.45000,0,0,0,0,12312.99,0,0.010000,6.00,73877.94000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,3,XX,6,164074.38000,0,0,0,0,0,0,2,54691.46000,75600.00,0,0,0,6872.73000,0,0,0,0,27345.73,0,-0.000000,4.00,109382.92000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,2,11,XX,6,41643.66000,24,166572,16657.1100000,0,0,0,25,173512.44000,242500.00,0,0,0,22045.45000,0,0,0,0,6940.46,0,-0.920000,5.00,34702.30000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,12,9,XX,5,28851.10000,4,23211,2321.1100000,0,0,0,2,11569.38000,15800.00,0,0,0,1436.36000,0,0,0,0,5784.69,0,0.110000,7.00,40492.83000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000116,010706,2,4,XX,7,84384.09000,0,0,0,0,0,0,4,48219.48000,63200.00,0,0,0,5745.45000,0,0,0,0,12054.87,0,0.000000,3.00,36164.61000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,4,5,XX,9,147047.04000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16338.56,0,0,9.00,147047.04000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,10,13,XX,14,105306.04000,6,45087,4508.6600000,0,0,0,10,75214.52000,100000.00,0,0,0,9090.91000,0,0,0,0,7517.81,0,-0.430000,10.00,75178.10000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000129,010108,5,8,XX,4,30092.04000,15,112845,11284.5200000,0,0,0,14,105322.14000,140000.00,1,7523.00000,10000.00,11818.18000,0,0,0,0,7523.01,0,0.160000,6.00,45138.06000,,,,Y,Y,0,2,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000132,011106,3,15,XX,3,159936.00000,12,658401,65840.0700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54555.78,0,-0.300000,15.00,818336.70000,J,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000133,011101,1,8,XX,2,86881.74000,6,257930,25793.0200000,0,0,0,5,215846.84000,294500.00,0,0,0,26772.73000,0,0,0,0,42988.36,0,0.180000,3.00,128965.08000,J,,,Y,Y,0,12,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000135,011003,8,3,XX,9,154776.87000,0,0,0,0,0,0,4,68789.70000,97200.00,0,0,0,8836.36000,0,0,0,0,17197.43,0,-0.020000,5.00,85987.15000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000143,010302,9,19,XX,28,167384.56000,9,53775,5377.5300000,0,0,0,26,155416.43000,200200.00,0,0,0,18200.00000,0,0,0,0,5976.67,0,0.240000,11.00,65743.37000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000144,021504,1,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802.99,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000146,010302,3,4,XX,4,23913.92000,8,47800,4780.0300000,0,0,0,6,35861.52000,46200.00,0,0,0,4200.00000,0,0,0,0,5975.45,0,0.300000,6.00,35852.70000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000149,021511,2,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456.64,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000154,021504,10,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.23,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000155,021504,10,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.29,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000159,021504,2,4,XX,4,50512.68000,6,76071,7607.0800000,0,0,0,5,63216.23000,84500.00,0,0,0,7681.82000,0,0,0,0,12673.45,0,-0.200000,5.00,63367.25000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,12,10000172,011204,3,6,XX,5,29597.00000,8,47796,4779.6500000,0,0,0,8,47544.33000,74400.00,0,0,0,6763.64000,0,0,0,0,5969.84,0,0.530000,5.00,29849.20000,T,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000176,010601,12,36,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
