RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,4,11,XX,23,196800.19000,15,128079,12807.9500000,0,0,0,7,59873.36000,66800.00,0,0,0,6072.73000,0,0,-2.00,-17106.00,8548.27,0,-0.000000,29.00,247899.83000,D,,,Y,Y,0,0,31,-2,-17106.000000,0,0,,G105,19600,0,0,0,0,0,0,0,0,0
,02,10000020,010201,4,4,XX,3,25691.25000,6,51231,5123.1800000,0,0,0,4,34199.73000,38300.00,0,0,0,3481.82000,0,0,0,0,8544.66,0,0.780000,5.00,42723.30000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,4,23,XX,50,393985.50000,48,376472,37647.2800000,0,0,0,64,503634.11000,585700.00,0,0,0,53245.45000,0,0,0,0,7847.78,0,1.130000,34.00,266824.52000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,4,4,XX,3,18267.63000,4,24612,2461.2500000,0,0,0,3,18331.55000,28500.00,0,0,0,2590.91000,0,0,0,0,6137.16,0,0.560000,4.00,24548.64000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,2,16,XX,19,362587.83000,0,0,0,0,0,0,19,362587.89000,435100.00,0,0,0,39554.55000,0,0,0,0,19083.57,0,0.060000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,4,62263.52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15565.88,0,0,4.00,62263.52000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,6,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,5,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,8,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,3,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
