RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,0,37,XX,28,239140.44000,110,939248,93924.9600000,0,0,0,87,742911.45000,853800.00,0,0,0,77618.18000,0,0,0,0,8538.81,0,2.320000,51.00,435479.31000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,0,6,XX,2,17077.26000,12,102464,10246.3600000,0,0,0,6,51231.79000,58200.00,0,0,0,5290.91000,0,0,0,0,8538.63,0,-0.430000,8.00,68309.04000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,0,18,XX,26,204595.56000,0,0,0,0,0,0,6,47214.38000,55700.00,0,0,0,5063.64000,0,0,1.00,7869.00,7869.06,0,0.080000,21.00,165250.26000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,9400,0,0,0,0,0,0,0,0
,11,10000052,011104,0,4,XX,5,30212.05000,8,49224,4922.5000000,0,0,0,8,48740.64000,76000.00,0,0,0,6909.09000,0,0,-2.00,-12250.00,6148.52,0,0.150000,3.00,18445.56000,,,,Y,Y,0,0,31,-2,-12250.000000,0,0,,G105,19000,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,21,XX,24,458005.68000,0,0,0,0,0,0,24,458005.75000,549600.00,0,0,0,49963.64000,0,0,0,0,19083.57,0,0.070000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,4,62507.92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15626.98,0,0,4.00,62507.92000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,0,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,0,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,0,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,0,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
