RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,2,11,XX,21,178742.13000,5,42693,4269.3200000,0,0,0,3,25534.60000,29200.00,0,0,0,2654.55000,0,0,0,0,8517.42,0,0.130000,23.00,195900.66000,D,,,Y,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,2,4,XX,3,25699.62000,2,17077,1707.7300000,0,0,0,2,17119.12000,19300.00,0,0,0,1754.55000,0,0,0,0,8552.58,0,0.240000,3.00,25657.74000,,,,Y,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,2,12,XX,16,125448.32000,0,0,0,0,0,0,1,7840.52000,9400.00,0,0,0,854.55000,0,0,0,0,7840.52,0,-0.000000,15.00,117607.80000,S,,,Y,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,2,4,XX,3,17342.76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780.92,0,0,3.00,17342.76000,,,,0,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,4,16,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17270.80,0,0,0,0,V,,,0,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,46880.64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15626.88,0,0,3.00,46880.64000,,,,0,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,7,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,10,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,30,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
