RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,6,11,XX,23,198314.05000,20,172447,17244.6900000,0,0,0,29,250048.01000,276100.00,0,0,0,25100.00000,0,0,0,0,8622.35,0,-0.150000,14.00,120712.90000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,2,8,XX,7,60356.45000,0,0,0,0,0,0,4,34489.38000,39500.00,0,0,0,3590.91000,0,0,1.00,8622.00,8622.35,0,0.330000,4.00,34489.40000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,9800,0,0,0,0,0,0,0,0
,02,10000021,010201,6,12,XX,5,39600.40000,6,47520,4752.0500000,0,0,0,3,23760.23000,27400.00,0,0,0,2490.91000,0,0,0,0,7920.08,0,0.470000,8.00,63360.64000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,2,4,XX,3,18639.63000,2,12427,1242.6900000,0,0,0,1,6213.21000,9100.00,0,0,0,827.27000,0,0,0,0,6213.33,0,-0.110000,4.00,24853.32000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,4,16,XX,23,443225.41000,0,0,0,0,0,0,23,443225.34000,347500.00,0,0,0,31590.91000,0,0,0,0,19270.67,0,-0.070000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,4,62812.84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15703.21,0,0,4.00,62812.84000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,7,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,10,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,24,XX,0,0,16,160566,16056.6200000,0,0,0,4,38685.08000,44400.00,0,0,0,4036.36000,0,0,0,0,10156.76,0,0.200000,12.00,121881.12000,,,,Y,Y,0,3,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,18,22,XX,7,58597.63000,4,33484,3348.4400000,0,0,0,4,33484.36000,50800.00,0,0,0,4618.18000,0,0,0,0,8371.09,0,0.360000,7.00,58597.63000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,2,3,XX,3,49250.13000,4,65940,6594.0600000,0,0,0,2,32924.68000,41400.00,0,0,0,3763.64000,0,0,-2.00,-32834.00,16477.55,0,1.200000,3.00,49432.65000,,,,Y,Y,0,0,31,-2,-32834.000000,0,0,,G105,41400,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,3,28032.48000,8,74752,7475.3300000,0,0,0,5,46720.80000,66500.00,0,0,0,6045.45000,0,0,0,0,9344.16,0,1.280000,6.00,56064.96000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,3,4,XX,3,37256.43000,2,24838,2483.7600000,0,0,0,2,24837.63000,31600.00,0,0,0,2872.73000,0,0,0,0,12418.81,0,-0.370000,3.00,37256.43000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,2,3,XX,3,83237.52000,1,27746,2774.5800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27745.84,0,-0.160000,4.00,110983.36000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
