RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,8,11,XX,17,144884.88000,15,128079,12807.9500000,0,0,0,9,76739.30000,87700.00,0,0,0,7972.73000,0,0,0,0,8531.52,0,0.380000,23.00,196224.96000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,8,6,XX,4,34154.52000,2,17077,1707.7300000,0,0,0,3,25615.90000,29500.00,0,0,0,2681.82000,0,0,0,0,8538.63,0,0.270000,3.00,25615.89000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,8,12,XX,51,400199.04000,0,0,0,0,0,0,3,23541.14000,29700.00,0,0,0,2700.00000,0,0,0,0,7847.04,0,0.020000,48.00,376657.92000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,4,4,XX,1,5912.73000,4,24612,2461.2400000,0,0,0,3,18299.03000,28500.00,0,0,0,2590.91000,0,0,0,0,6113.04,0,0.380000,2.00,12226.08000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,2,17,XX,9,171752.13000,0,0,0,0,0,0,9,171752.16000,179400.00,0,0,0,16309.09000,0,0,0,0,19083.57,0,0.030000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,4,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,4,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,12,XX,8,76758.64000,8,82388,8238.8300000,0,0,0,6,58038.13000,67800.00,1,9595.00000,11300.00,5136.64000,0,0,0,0,10063.97,0,0.160000,11.00,110703.67000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,6,13,XX,14,116189.78000,0,0,0,0,0,0,6,49795.62000,76200.00,0,0,0,6927.27000,0,0,0,0,8299.27,0,0,8.00,66394.16000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,2,3,XX,3,48771.99000,1,16325,1632.5100000,0,0,0,1,16257.33000,21100.00,0,0,0,1918.18000,0,0,0,0,16279.92,0,0.100000,3.00,48839.76000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,3,27766.56000,8,74028,7402.7500000,0,0,0,8,74033.55000,107600.00,0,0,0,9781.82000,0,0,0,0,9253.51,0,-0.480000,3.00,27760.53000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,8,98415.52000,0,0,0,0,0,0,1,12301.94000,16300.00,0,0,0,1481.82000,0,0,0,0,12301.94,0,-0.000000,7.00,86113.58000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,3,XX,4,107218.16000,2,54952,5495.2900000,0,0,0,3,80637.59000,113400.00,0,0,0,10309.09000,0,0,0,0,27177.83,0,0.920000,3.00,81533.49000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000103,011105,4,6,XX,7,93006.62000,4,53037,5303.6600000,0,0,0,7,92969.95000,132300.00,0,0,0,12027.27000,0,0,0,0,13268.32,0,-0.390000,4.00,53073.28000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
