RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,6,11,XX,24,204795.60000,15,128079,12807.9500000,0,0,0,12,102400.15000,115600.00,0,0,0,10509.09000,0,0,0,0,8536.11,0,0.520000,27.00,230474.97000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,4,4,XX,2,17056.10000,4,34154,3415.4500000,1,8539,854,1,8535.99000,9500.00,0,0,0,863.64000,0,0,-1.00,-8533.00,8535.99,0,5.860000,3.00,25607.97000,,,,Y,Y,0,0,31,-1,-8533.000000,0,0,,G105,9800,0,0,0,0,0,0,0,0,0
,02,10000021,010201,6,12,XX,90,705886.20000,0,0,0,0,0,0,31,243138.70000,285000.00,0,0,0,25909.09000,0,0,0,0,7843.18,0,0.120000,59.00,462747.62000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,2,4,XX,3,17342.16000,4,24612,2461.2500000,0,0,0,3,17714.55000,28500.00,0,0,0,2590.91000,0,0,0,0,6060.03,0,0.510000,4.00,24240.12000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,4,16,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18621.84,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,2,31101.50000,2,31102,3110.1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15550.75,0,-0.500000,4.00,62203.00000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,7,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,10,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,4,16,XX,24,229700.40000,0,0,0,0,0,0,7,66995.96000,79100.00,0,0,0,7190.91000,0,0,-1.00,-9571.00,9570.85,0,0.160000,16.00,153133.60000,,,,Y,Y,0,0,31,-1,-9571.000000,0,0,,G105,11300,0,0,0,0,0,0,0,0,0
,24,10000090,032404,9,13,XX,6,49738.92000,8,66318,6631.8500000,0,0,0,8,66318.54000,101600.00,0,0,0,9236.36000,0,0,0,0,8289.82,0,0.540000,6.00,49738.92000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,2,3,XX,3,48972.84000,2,32650,3265.0200000,0,0,0,2,32648.57000,42200.00,0,0,0,3836.36000,0,0,0,0,16324.83,0,0.220000,3.00,48974.49000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,4,37038.16000,6,55521,5552.0600000,0,0,0,7,64794.81000,93500.00,0,0,0,8500.00000,0,0,0,0,9254.66,0,-0.370000,3.00,27763.98000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,3,4,XX,4,49224.64000,0,0,0,0,0,0,2,24612.32000,32600.00,0,0,0,2963.64000,0,0,0,0,12306.16,0,0.000000,2.00,24612.32000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,2,3,XX,2,54951.52000,2,54952,5495.2900000,0,0,0,1,27475.76000,37800.00,0,0,0,3436.36000,0,0,0,0,27476.23,0,0.930000,3.00,82428.69000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000103,011105,2,6,XX,4,53036.60000,8,106074,10607.3200000,0,0,0,5,66295.75000,94500.00,0,0,0,8590.91000,0,0,0,0,13259.15,0,-0.800000,7.00,92814.05000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,3,11,XX,11,76345.06000,8,55524,5552.3700000,0,0,0,13,90226.02000,126100.00,0,0,0,11463.64000,0,0,0,0,6940.46,0,-0.280000,6.00,41642.76000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,5,9,XX,4,23010.88000,8,46422,4642.2200000,0,0,0,7,40460.95000,55300.00,0,0,0,5027.27000,0,0,0,0,5794.44,0,0.270000,5.00,28972.20000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000116,010706,3,4,XX,3,36835.74000,8,102183,10218.1900000,0,0,0,8,100699.11000,127700.00,0,0,0,11609.09000,0,0,0,0,12772.84,0,-1.110000,3.00,38318.52000,,,,Y,Y,0,1,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000117,010706,3,4,XX,3,27161.94000,3,28308,2830.6800000,0,0,0,2,18447.18000,24300.00,0,0,0,2209.09000,0,0,-1.00,-9054.00,9322.53,0,-1.170000,3.00,27967.59000,,,,Y,Y,0,0,31,-1,-9054.000000,0,0,,G105,12300,0,0,0,0,0,0,0,0,0
,25,10000120,032502,6,8,XX,4,11097.60000,10,28932,2893.2100000,0,0,0,10,28299.66000,49000.00,0,0,0,4454.55000,0,0,0,0,2932.50,0,0.060000,4.00,11730.00000,,,,Y,Y,0,1,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,4,6,XX,10,163329.10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16332.91,0,0,10.00,163329.10000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,7,13,XX,9,67706.91000,0,0,0,0,0,0,1,7522.99000,10000.00,0,0,0,909.09000,0,0,0,0,7522.99,0,0.000000,8.00,60183.92000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000129,010108,5,8,XX,5,37615.05000,3,22569,2256.9000000,0,0,0,3,22569.03000,30000.00,0,0,0,2727.27000,0,0,0,0,7523.01,0,0.030000,5.00,37615.05000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000132,011106,2,15,XX,3,153574.92000,36,1975203,197520.2200000,0,0,0,1,54584.03000,71500.00,0,0,0,6500.00000,0,0,0,0,54584.03,0,-0.750000,38.00,2074193.14000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000133,011101,1,8,XX,3,129402.75000,66,2837232,283723.2000000,0,0,0,1,42994.71000,58900.00,0,0,0,5354.55000,0,0,0,0,42994.71,0,0.240000,68.00,2923640.28000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000135,011003,2,4,XX,10,169751.70000,0,0,0,0,0,0,3,50925.50000,72900.00,0,0,0,6627.27000,0,0,0,0,16975.17,0,-0.010000,7.00,118826.19000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000142,032502,6,8,XX,5,16604.95000,4,14826,1482.6300000,0,0,0,6,20439.39000,39000.00,0,0,0,3545.45000,0,0,0,0,3663.96,0,0.320000,3.00,10991.88000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000143,010302,7,11,XX,17,101575.51000,0,0,0,0,0,0,8,47800.26000,61600.00,0,0,0,5600.00000,0,0,0,0,5975.03,0,0.020000,9.00,53775.27000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000144,021504,1,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802.99,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000146,010302,3,4,XX,3,17954.40000,2,11950,1195.0100000,0,0,0,3,17947.88000,23100.00,0,0,0,2100.00000,0,0,0,0,5978.29,0,0.060000,2.00,11956.58000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000149,021511,2,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456.64,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000154,021504,10,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.23,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000155,021504,10,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.29,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000159,021504,2,4,XX,3,38002.20000,8,101420,10142.0000000,0,0,0,8,101385.39000,135200.00,0,0,0,12290.91000,0,0,0,0,12678.08,0,-2.570000,3.00,38034.24000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,12,10000172,011204,2,6,XX,18,107546.40000,0,0,0,0,0,0,8,47798.44000,74400.00,0,0,0,6763.64000,0,0,0,0,5974.80,0,0.040000,10.00,59748.00000,T,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000175,011102,4,10,XX,9,47934.27000,6,32031,3203.1500000,0,0,0,11,58628.15000,91300.00,0,0,0,8300.00000,0,0,0,0,5334.40,0,0.480000,4.00,21337.60000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000176,010601,12,36,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
