RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,8,11,XX,19,162233.97000,10,85386,8538.6300000,0,0,0,1,8538.63000,9500.00,0,0,0,863.64000,0,0,0,0,8538.63,0,0.300000,28.00,239081.64000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,4,4,XX,3,25615.89000,6,51231,5123.1800000,0,0,0,4,34154.53000,39000.00,0,0,0,3545.45000,0,0,0,0,8538.63,0,0.790000,5.00,42693.15000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,4,12,XX,18,141408.00000,6,47059,4705.9100000,0,0,0,8,62843.48000,75300.00,0,0,0,6845.45000,0,0,0,0,7851.48,0,0.160000,16.00,125623.68000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,4,4,XX,4,23867.80000,0,0,0,0,0,0,1,5966.95000,9500.00,0,0,0,863.64000,0,0,0,0,5966.95,0,0.000000,3.00,17900.85000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,3,20,XX,0,0,12,229003,22900.2900000,0,0,0,12,229002.88000,274800.00,0,0,0,24981.82000,0,0,0,0,19083.57,0,-0.120000,0,0,V,,,Y,Y,0,15,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,46652.25000,2,31102,3110.1500000,0,0,0,2,31101.50000,42200.00,0,0,0,3836.36000,0,0,0,0,15550.75,0,-0.500000,3.00,46652.25000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,2,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,4,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,16,XX,16,153630.08000,8,82388,8238.8300000,0,0,0,9,86416.88000,101700.00,0,0,0,9245.45000,0,0,0,0,9973.43,0,0.250000,15.00,149601.45000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,6,13,XX,10,83028.20000,8,66318,6631.8500000,0,0,0,12,99593.47000,152400.00,0,0,0,13854.55000,0,0,0,0,8292.21,0,0.530000,6.00,49753.26000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,1,3,XX,3,48975.30000,1,16325,1632.5100000,0,0,0,1,16325.10000,21100.00,0,0,0,1918.18000,0,0,0,0,16325.10,0,0.100000,3.00,48975.30000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,4,37013.76000,0,0,0,0,0,0,2,18506.88000,26600.00,0,0,0,2418.18000,0,0,2.00,18506.00,9253.44,0,0.880000,4.00,37013.76000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,27000,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,6,73866.06000,0,0,0,0,0,0,2,24622.02000,32600.00,0,0,0,2963.64000,0,0,0,0,12311.01,0,-0.000000,4.00,49244.04000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,3,XX,10,263422.00000,0,0,0,0,0,0,2,52684.40000,75600.00,0,0,0,6872.73000,0,0,0,0,26342.20,0,0,8.00,210737.60000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000103,011105,6,6,XX,7,92886.43000,12,159111,15910.9800000,0,0,0,11,145913.18000,207900.00,0,0,0,18900.00000,0,0,0,0,13260.38,0,-1.210000,8.00,106083.04000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,6,11,XX,5,34702.30000,16,111048,11104.7400000,0,0,0,16,111047.41000,155200.00,0,0,0,14109.09000,0,0,0,0,6940.46,0,-0.590000,5.00,34702.30000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,6,9,XX,5,28480.20000,4,23211,2321.0800000,0,0,0,1,5743.44000,7900.00,0,0,0,718.18000,0,0,-1.00,-5743.00,5743.44,0,-0.680000,7.00,40204.08000,,,,Y,Y,0,0,31,-1,-5743.000000,0,0,,G105,7900,0,0,0,0,0,0,0,0,0
,07,10000116,010706,4,5,XX,9,105752.52000,0,0,0,0,0,0,3,35250.84000,47400.00,0,0,0,4309.09000,0,0,0,0,11750.28,0,0.000000,6.00,70501.68000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000117,010706,3,3,XX,2,18144.24000,4,37380,3737.8900000,0,0,0,3,27539.45000,36900.00,0,0,0,3354.55000,0,0,0,0,9327.90,0,-1.090000,3.00,27983.70000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000120,032502,8,8,XX,2,5552.88000,2,5549,554.8800000,0,0,0,1,2775.42000,4900.00,0,0,0,445.45000,0,0,0,0,2775.42,0,-0.200000,3.00,8326.26000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,2,6,XX,2,32693.00000,4,65241,6523.9800000,0,0,0,3,48971.77000,69600.00,0,0,0,6327.27000,0,0,0,0,16320.36,0,-1.150000,3.00,48961.08000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,7,13,XX,33,248392.98000,0,0,0,0,0,0,13,97851.74000,130000.00,0,0,0,11818.18000,0,0,0,0,7527.06,0,-0.040000,20.00,150541.20000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000129,010108,7,8,XX,6,45251.52000,15,112845,11284.5200000,0,0,0,15,112958.60000,150000.00,0,0,0,13636.36000,0,0,0,0,7523.01,0,0.140000,6.00,45138.06000,,,,Y,Y,0,2,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000132,011106,1,15,XX,3,154596.48000,0,0,0,0,0,0,1,51532.16000,71500.00,0,0,0,6500.00000,0,0,0,0,51532.16,0,0.000000,2.00,103064.32000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000133,011101,1,8,XX,3,127695.99000,36,1547581,154758.1100000,0,0,0,1,42955.82000,58900.00,0,0,0,5354.55000,0,0,0,0,42955.82,0,-0.010000,38.00,1632321.16000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000135,011003,4,5,XX,14,241629.22000,0,0,0,0,0,0,4,69036.90000,97200.00,0,0,0,8836.36000,0,0,0,0,17259.23,0,-0.020000,10.00,172592.30000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000142,032502,6,8,XX,6,20541.60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3423.60,0,0,6.00,20541.60000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000143,010302,6,13,XX,13,77678.25000,6,35850,3585.0200000,0,0,0,7,41826.67000,53900.00,0,0,0,4900.00000,0,0,0,0,5975.15,0,0.220000,12.00,71701.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000144,021504,2,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802.99,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000146,010302,7,4,XX,6,35855.10000,0,0,0,0,0,0,1,5975.85000,7700.00,0,0,0,700.00000,0,0,0,0,5975.85,0,0.000000,5.00,29879.25000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000149,021511,4,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456.64,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000154,021504,2,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921.37,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000155,021504,2,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.29,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000159,021504,2,4,XX,3,37616.04000,6,76062,7606.2700000,0,0,0,6,75697.38000,101400.00,0,0,0,9218.18000,0,0,0,0,12660.47,0,0.750000,3.00,37981.41000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,12,10000172,011204,4,6,XX,10,59799.00000,0,0,0,0,0,0,8,47839.18000,74400.00,0,0,0,6763.64000,0,0,0,0,5979.90,0,-0.020000,2.00,11959.80000,T,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000175,011102,6,10,XX,2,10643.08000,12,64052,6405.1500000,0,0,0,9,47997.47000,74700.00,0,0,0,6790.91000,0,0,0,0,5339.43,0,-0.460000,5.00,26697.15000,,,,Y,Y,0,2,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000176,010601,12,36,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000177,010601,6,18,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000178,010601,2,8,XX,2,63837.16000,0,0,0,0,0,0,4,127674.32000,112000.00,0,0,0,10181.82000,0,0,2.00,63838.00,31918.58,0,-0.840000,0,0,,,,Y,Y,0,12,31,0,0,0,0,,G105,0,83800,0,0,0,0,0,0,0,0
,06,10000181,010601,2,6,XX,3,201534.36000,4,340100,34009.9900000,0,0,0,7,505940.53000,576700.00,0,0,0,52427.27000,0,0,0,0,85024.96,0,-35693.830000,0,0,,,,Y,Y,0,23,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,08,10000184,010801,28,45,XX,18,39864.78000,40,88670,8867.0500000,0,0,0,29,64259.11000,78300.00,0,0,0,7118.18000,0,0,0,0,2216.42,0,0.510000,29.00,64276.18000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
