RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,8,11,XX,19,161616.47000,10,85386,8538.6300000,0,0,0,4,34039.31000,39200.00,0,0,0,3563.64000,0,0,0,0,8518.54,0,0.340000,25.00,212963.50000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,4,4,XX,3,25475.79000,4,34154,3415.4500000,1,8539,854,3,25554.25000,29100.00,0,0,0,2645.45000,0,0,1.00,8522.00,8521.82,0,28.740000,4.00,34087.28000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,9500,0,0,0,0,0,0,0,0
,02,10000021,010201,4,12,XX,53,416257.76000,0,0,0,0,0,0,13,102100.99000,120900.00,0,0,0,10990.91000,0,0,0,0,7853.92,0,0.030000,40.00,314156.80000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,4,4,XX,4,23879.40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5969.85,0,0,4.00,23879.40000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,3,16,XX,5,92417.35000,0,0,0,0,0,0,5,92417.35000,78900.00,0,0,0,7172.73000,0,0,0,0,18483.47,0,0,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,47109.63000,2,31102,3110.1500000,0,0,0,1,15703.21000,21100.00,0,0,0,1918.18000,0,0,0,0,15626.98,0,-0.500000,4.00,62507.92000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,10,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,14,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,4,16,XX,11,105470.09000,8,82388,8238.8300000,0,0,0,12,117426.08000,135600.00,0,0,0,12327.27000,0,0,1.00,10062.00,10061.76,0,0.070000,8.00,80494.08000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,11300,0,0,0,0,0,0,0,0
,24,10000090,032404,6,13,XX,7,58081.94000,0,0,0,0,0,0,3,24892.26000,38100.00,0,0,0,3463.64000,0,0,0,0,8297.42,0,0,4.00,33189.68000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,2,3,XX,3,49152.99000,4,65300,6530.0400000,0,0,0,5,81781.26000,105500.00,0,0,0,9590.91000,0,0,0,0,16338.26,0,4.790000,2.00,32676.52000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,3,27765.99000,6,55521,5552.0600000,0,0,0,5,46271.51000,66900.00,0,0,0,6081.82000,0,0,0,0,9253.78,0,-0.360000,4.00,37015.12000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,11,135384.04000,0,0,0,0,0,0,1,12307.65000,16300.00,0,0,0,1481.82000,0,0,0,0,12307.64,0,0.010000,10.00,123076.40000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
