RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,2,11,XX,25,213290.00000,5,42693,4269.3200000,0,0,0,9,76789.27000,88600.00,0,0,0,8054.55000,0,0,4.00,34128.00,8532.81,0,-1.480000,25.00,213320.25000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,40800,0,0,0,0,0,0,0,0
,02,10000020,010201,2,10,XX,7,59771.39000,18,153695,15369.5400000,0,0,0,17,145157.62000,166000.00,0,0,0,15090.91000,0,0,0,0,8538.64,0,0.350000,8.00,68309.12000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,2,12,XX,26,203771.10000,0,0,0,0,0,0,1,7837.35000,9900.00,0,0,0,900.00000,0,0,-1.00,-7837.00,7837.35,0,-0.350000,24.00,188096.40000,S,,,Y,Y,0,0,31,-1,-7837.000000,0,0,,G105,9400,0,0,0,0,0,0,0,0,0
,11,10000052,011104,2,4,XX,2,12181.62000,2,12306,1230.6200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6121.97,0,0.260000,4.00,24487.88000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,4,17,XX,22,419838.54000,0,0,0,0,0,0,22,419838.61000,459300.00,0,0,0,41754.55000,0,0,0,0,19083.57,0,0.070000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,46652.01000,2,31102,3110.1500000,0,0,0,1,15550.67000,21100.00,0,0,0,1918.18000,0,0,0,0,15550.71,0,-0.500000,4.00,62202.84000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,7,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,10,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,16,XX,11,103946.70000,8,82388,8238.8300000,0,0,0,3,28349.09000,33900.00,0,0,0,3081.82000,0,0,-1.00,-9450.00,9902.41,0,0.540000,15.00,148536.15000,,,,Y,Y,0,0,31,-1,-9450.000000,0,0,,G105,11300,0,0,0,0,0,0,0,0,0
,24,10000090,032404,9,13,XX,3,24896.61000,20,165795,16579.6400000,0,0,0,23,190692.96000,292100.00,0,0,0,26554.55000,0,0,0,0,8289.90,0,1.350000,0,0,L,,,Y,Y,0,1,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,2,3,XX,3,48975.30000,3,48975,4897.5300000,0,0,0,4,65300.40000,84400.00,0,0,0,7672.73000,0,0,0,0,16325.10,0,0.300000,2.00,32650.20000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,3,27760.32000,4,37014,3701.3800000,0,0,0,6,55520.64000,80000.00,0,0,0,7272.73000,0,0,0,0,9253.44,0,-0.240000,1.00,9253.44000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,12,147562.44000,0,0,0,0,0,0,1,12296.87000,16300.00,0,0,0,1481.82000,0,0,0,0,12296.87,0,-0.000000,11.00,135265.57000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,3,XX,8,208572.48000,0,0,0,0,0,0,3,78214.68000,113400.00,0,0,0,10309.09000,0,0,0,0,26071.56,0,0,5.00,130357.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
