RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,0,12,XX,28,240467.36000,20,170772,17077.2600000,0,0,0,19,162985.59000,186500.00,0,0,0,16954.55000,0,0,0,0,8560.49,0,0.440000,29.00,248254.21000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,0,4,XX,5,42842.25000,2,17077,1707.7300000,0,0,0,2,17136.91000,19600.00,0,0,0,1781.82000,0,0,0,0,8556.52,0,0.260000,5.00,42782.60000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,0,15,XX,58,454986.22000,0,0,0,0,0,0,37,290249.94000,334200.00,0,0,0,30381.82000,0,0,0,0,7844.59,0,0.110000,21.00,164736.39000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,0,4,XX,3,17342.85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780.95,0,0,3.00,17342.85000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,16,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18621.84,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,5,76806.05000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15361.21,0,0,5.00,76806.05000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,0,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,0,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,0,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,0,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,0,16,XX,39,372112.26000,0,0,0,0,0,0,4,38165.36000,45200.00,0,0,0,4109.09000,0,0,0,0,9541.34,0,0.000000,35.00,333946.90000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,0,13,XX,13,107818.62000,0,0,0,0,0,0,7,58056.15000,88900.00,0,0,0,8081.82000,0,0,0,0,8293.74,0,-0.030000,6.00,49762.44000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,0,3,XX,3,48568.68000,1,16325,1632.5100000,0,0,0,1,16189.56000,21100.00,0,0,0,1918.18000,0,0,0,0,16234.74,0,0.100000,3.00,48704.22000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,2,18506.88000,6,55521,5552.0600000,0,0,0,5,46267.20000,66900.00,0,0,0,6081.82000,0,0,0,0,9253.44,0,-0.360000,3.00,27760.32000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,16,196383.36000,0,0,0,0,0,0,5,61369.81000,81500.00,0,0,0,7409.09000,0,0,0,0,12273.96,0,0.010000,11.00,135013.56000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
