RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,8,11,XX,10,86040.30000,15,128079,12807.9500000,0,0,0,5,42911.17000,49400.00,0,0,0,4490.91000,0,0,0,0,8560.43,0,0.470000,20.00,171208.60000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,8,6,XX,6,50347.38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8391.23,0,0,6.00,50347.38000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,8,12,XX,134,1054688.54000,0,0,0,0,0,0,25,196770.33000,237700.00,0,0,0,21609.09000,0,0,0,0,7870.81,0,0.080000,109.00,857918.29000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,4,4,XX,4,24111.44000,0,0,0,0,0,0,1,6027.86000,9500.00,0,0,0,863.64000,0,0,0,0,6027.86,0,0.000000,3.00,18083.58000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,19,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18621.84,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,46728.48000,2,31102,3110.1500000,0,0,0,1,15576.16000,21100.00,0,0,0,1918.18000,0,0,0,0,15563.45,0,-0.520000,4.00,62253.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,6,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,5,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,8,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,3,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,14,XX,34,325077.06000,8,82388,8238.8300000,0,0,0,11,105171.95000,124300.00,0,0,0,11300.00000,0,0,0,0,9751.40,0,0.290000,31.00,302293.40000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,0,13,XX,14,116134.48000,0,0,0,0,0,0,10,82953.20000,127000.00,0,0,0,11545.45000,0,0,0,0,8295.32,0,0,4.00,33181.28000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,4,3,XX,4,65107.44000,4,65300,6530.0400000,0,0,0,5,81456.68000,105500.00,0,0,0,9590.91000,0,0,0,0,16317.06,0,0.420000,3.00,48951.18000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,6,55669.80000,12,111042,11104.1300000,0,0,0,13,120432.05000,174700.00,0,0,0,15881.82000,0,0,0,0,9255.81,0,-0.700000,5.00,46279.05000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,8,98385.92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12298.24,0,0,8.00,98385.92000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,4,XX,12,328679.16000,0,0,0,0,0,0,2,54779.87000,75600.00,0,0,0,6872.73000,0,0,0,0,27389.93,0,0.010000,10.00,273899.30000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,8,11,XX,10,69407.70000,16,111048,11104.7400000,0,0,0,21,145752.58000,203700.00,0,0,0,18518.18000,0,0,0,0,6940.51,0,-0.570000,5.00,34702.55000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,6,21,XX,9,51881.94000,28,162478,16247.7800000,0,0,0,11,63704.30000,86900.00,0,0,0,7900.00000,0,0,0,0,5794.44,0,-0.200000,26.00,150655.44000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000116,010706,2,4,XX,18,209624.58000,0,0,0,0,0,0,7,81520.69000,110600.00,0,0,0,10054.55000,0,0,0,0,11645.81,0,0.020000,11.00,128103.91000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000117,010706,3,4,XX,3,27169.65000,4,37743,3774.2400000,0,0,0,4,36773.72000,48600.00,0,0,0,4418.18000,0,0,0,0,9379.44,0,-0.610000,3.00,28138.32000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,4,6,XX,31,505982.31000,0,0,0,0,0,0,2,32644.01000,46400.00,0,0,0,4218.18000,0,0,0,0,16322.01,0,-0.010000,29.00,473338.29000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,6,13,XX,31,233441.78000,6,45087,4508.6600000,0,0,0,16,120481.72000,160000.00,0,0,0,14545.45000,0,0,0,0,7526.03,0,-0.430000,21.00,158046.63000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000129,010108,4,8,XX,9,67745.52000,3,22569,2256.9000000,0,0,0,4,30107.68000,40000.00,0,0,0,3636.36000,0,0,0,0,7525.85,0,-0.040000,8.00,60206.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000132,011106,12,15,XX,3,163875.45000,27,1482797,148279.6300000,0,0,0,6,329395.43000,429000.00,0,0,0,39000.00000,0,0,0,0,54886.51,0,-0.780000,24.00,1317276.24000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000133,011101,1,8,XX,2,86881.74000,12,515860,51586.0400000,0,0,0,3,129870.11000,176700.00,0,0,0,16063.64000,0,0,0,0,42988.36,0,0.330000,11.00,472871.96000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000135,011003,4,7,XX,23,396978.16000,0,0,0,0,0,0,5,86299.62000,121500.00,0,0,0,11045.45000,0,0,0,0,17259.92,0,0.020000,18.00,310678.56000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000143,010302,0,7,XX,18,107649.18000,0,0,0,0,0,0,7,41863.57000,53900.00,0,0,0,4900.00000,0,0,0,0,5980.51,0,0,11.00,65785.61000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000144,021504,0,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802.99,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000149,021511,3,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456.64,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000154,021504,6,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.23,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000155,021504,6,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.29,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000159,021504,3,4,XX,3,37891.20000,12,152133,15213.3300000,0,0,0,10,126632.27000,169000.00,0,0,0,15363.64000,0,0,0,0,12678.45,0,0.320000,5.00,63392.25000,,,,Y,Y,0,2,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,12,10000172,011204,2,6,XX,8,47806.88000,4,23898,2389.8300000,0,0,0,5,29879.30000,46500.00,0,0,0,4227.27000,0,0,0,0,5975.12,0,0.260000,7.00,41825.84000,T,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000175,011102,6,8,XX,5,26460.50000,6,32045,3204.5100000,0,0,0,3,15876.30000,24900.00,0,0,0,2263.64000,0,0,0,0,5324.60,0,-32.400000,8.00,42596.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000176,010601,12,36,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000177,010601,6,18,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000178,010601,2,8,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31770.03,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000181,010601,2,6,XX,1,80713.23000,4,340100,34009.9900000,0,0,0,5,420813.09000,378900.00,0,0,0,34445.45000,0,0,0,0,85024.96,0,-0.140000,0,0,,,,Y,Y,0,17,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,08,10000184,010801,28,82,XX,81,174473.19000,440,962491,96249.1500000,0,0,0,197,428879.56000,531900.00,0,0,0,48354.55000,0,0,0,0,2185.45,0,1.170000,324.00,708085.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,08,10000185,010801,28,122,XX,480,1092739.20000,0,0,0,0,0,0,299,680685.46000,807300.00,0,0,0,73390.91000,0,0,0,0,2276.54,0,0,181.00,412053.74000,E,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000189,032505,3,5,XX,5,30515.65000,0,0,0,0,0,0,2,12206.26000,19800.00,0,0,0,1800.00000,0,0,0,0,6103.13,0,-0.000000,3.00,18309.39000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000197,021506,8,32,XX,92,120491.48000,0,0,0,0,0,0,42,55007.11000,84000.00,0,0,0,7636.36000,0,0,0,0,1309.69,0,0.130000,50.00,65484.50000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000206,011104,3,8,XX,6,41910.90000,18,128163,12816.1700000,0,0,0,18,127359.27000,196200.00,0,0,0,17836.36000,0,0,0,0,7118.88,0,-1.350000,6.00,42713.28000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000210,010604,3,14,XX,65,853931.65000,0,0,0,0,0,0,27,354709.99000,459000.00,0,0,0,41727.27000,0,0,0,0,13137.41,0,-0.080000,38.00,499221.58000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
