RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,6,11,XX,23,196560.30000,25,213465,21346.5800000,0,0,0,22,187956.31000,217000.00,0,0,0,19727.27000,0,0,2.00,17088.00,8541.32,0,-0.030000,28.00,239156.96000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,20400,0,0,0,0,0,0,0,0
,02,10000020,010201,2,4,XX,4,34213.20000,6,51231,5123.1800000,0,0,0,5,42731.87000,48400.00,0,0,0,4400.00000,0,0,-1.00,-8544.00,8542.15,0,0.270000,4.00,34168.60000,,,,Y,Y,0,0,31,-1,-8544.000000,0,0,,G105,10200,0,0,0,0,0,0,0,0,0
,02,10000021,010201,6,14,XX,36,283010.76000,0,0,0,0,0,0,11,86475.55000,102000.00,0,0,0,9272.73000,0,0,-2.00,-15722.00,7861.41,0,-0.780000,23.00,180812.43000,S,,,Y,Y,0,0,31,-2,-15722.000000,0,0,,G105,18800,0,0,0,0,0,0,0,0,0
,11,10000052,011104,2,4,XX,2,12127.96000,6,36918,3691.8700000,0,0,0,6,36762.67000,57000.00,0,0,0,5181.82000,0,0,0,0,6141.99,0,0.690000,2.00,12283.98000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,4,19,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18621.84,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,46627.23000,2,31102,3110.1500000,1,15551,1555,0,0,0,0,0,0,0,0,0,0,0,15546.58,0,8.090000,4.00,62186.32000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,7,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,10,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,16,XX,8,76619.04000,16,164776,16477.6600000,0,0,0,14,139598.97000,158200.00,0,0,0,14381.82000,0,0,0,0,10179.67,0,0.630000,10.00,101796.70000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
