RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,5,11,XX,19,161974.43000,20,170772,17077.2600000,0,0,0,14,119420.26000,136900.00,0,0,0,12445.45000,0,0,0,0,8533.08,0,0.830000,25.00,213327.00000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,2,4,XX,3,25657.41000,12,102464,10246.3600000,0,0,0,7,59799.53000,68400.00,0,0,0,6218.18000,0,0,0,0,8540.18,0,-0.440000,8.00,68321.44000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,6,21,XX,62,487021.78000,0,0,0,0,0,0,31,243510.92000,289200.00,0,0,0,26290.91000,0,0,0,0,7855.19,0,0.030000,31.00,243510.89000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,2,4,XX,7,42551.46000,0,0,0,0,0,0,2,12157.56000,19000.00,0,0,0,1727.27000,0,0,0,0,6078.78,0,0,5.00,30393.90000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,12,16,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18621.84,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,2,5,XX,3,46548.63000,2,31102,3110.1500000,0,0,0,2,31049.69000,42200.00,0,0,0,3836.36000,0,0,0,0,15533.48,0,-0.500000,3.00,46600.44000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,5,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,6,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,10,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,16,XX,13,124114.38000,0,0,0,0,0,0,4,38189.04000,45200.00,0,0,0,4109.09000,0,0,0,0,9547.26,0,0,9.00,85925.34000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,4,13,XX,12,99525.72000,4,33159,3315.9300000,0,0,0,9,74644.29000,114300.00,0,0,0,10390.91000,0,0,0,0,8291.53,0,0.280000,7.00,58040.71000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,1,3,XX,4,65137.84000,5,81625,8162.5500000,0,0,0,5,81481.01000,105500.00,0,0,0,9590.91000,0,0,0,0,16320.58,0,0.490000,4.00,65282.32000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,1,7,XX,3,27760.32000,2,18507,1850.6900000,0,0,0,1,9253.44000,13300.00,0,0,0,1209.09000,0,0,0,0,9253.44,0,-0.120000,4.00,37013.76000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,1,4,XX,3,36894.72000,1,12298,1229.8200000,0,0,0,1,12298.24000,16300.00,0,0,0,1481.82000,0,0,0,0,12298.24,0,0.240000,3.00,36894.72000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
