RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,0,11,XX,18,153747.36000,10,85386,8538.6300000,0,0,0,6,51245.35000,59400.00,0,0,0,5400.00000,0,0,0,0,8540.38,0,0.350000,22.00,187888.36000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,0,4,XX,5,42715.60000,0,0,0,0,0,0,1,8543.12000,9500.00,0,0,0,863.64000,0,0,0,0,8543.12,0,-0.000000,4.00,34172.48000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,0,12,XX,64,502884.48000,0,0,0,0,0,0,4,31430.26000,37300.00,0,0,0,3390.73000,0,0,-3.00,-23574.00,7857.57,0,1.270000,57.00,447881.49000,S,,,Y,Y,0,0,31,-3,-23574.000000,0,0,,G105,27000,0,0,0,0,0,0,0,0,0
,11,10000052,011104,0,4,XX,2,11561.86000,4,24612,2461.2400000,0,0,0,3,17994.05000,28500.00,0,0,0,2590.91000,0,0,0,0,6060.06,0,0.370000,3.00,18180.18000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,16,XX,24,458005.68000,0,0,0,0,0,0,24,458005.75000,522900.00,0,0,0,47536.36000,0,0,0,0,19083.57,0,0.070000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,46652.25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15550.75,0,0,3.00,46652.25000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,0,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,0,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,0,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,0,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,0,16,XX,5,47942.85000,8,82388,8238.8300000,0,0,0,9,90083.61000,101700.00,0,0,0,9245.45000,0,0,3.00,30186.00,10061.88,0,-0.080000,7.00,70433.16000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,33900,0,0,0,0,0,0,0,0
,24,10000090,032404,0,13,XX,10,83134.00000,4,33159,3315.9300000,0,0,0,10,83093.54000,127000.00,0,0,0,11545.45000,0,0,0,0,8299.92,0,0.220000,4.00,33199.68000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,0,3,XX,2,32649.90000,2,32650,3265.0200000,0,0,0,2,32650.03000,42200.00,0,0,0,3836.36000,0,0,0,0,16325.03,0,0.190000,2.00,32650.06000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,4,37013.76000,2,18507,1850.6900000,0,0,0,2,18506.88000,26800.00,0,0,0,2436.36000,0,0,0,0,9253.44,0,-0.120000,4.00,37013.76000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,8,98070.32000,0,0,0,0,0,0,1,12258.79000,16300.00,0,0,0,1481.82000,0,0,0,0,12258.79,0,0.000000,7.00,85811.53000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,3,XX,3,82465.56000,1,27476,2747.6500000,0,0,0,1,27488.52000,37800.00,0,0,0,3436.36000,0,0,0,0,27484.50,0,0.460000,3.00,82453.50000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000103,011105,0,6,XX,5,66360.75000,4,53037,5303.6600000,0,0,0,4,53065.49000,75600.00,0,0,0,6872.73000,0,0,0,0,13266.37,0,-0.410000,5.00,66331.85000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,0,11,XX,4,27780.88000,24,166572,16657.1100000,0,0,0,20,138827.59000,194000.00,0,0,0,17636.36000,0,0,0,0,6940.58,0,-0.650000,8.00,55524.64000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,6,9,XX,7,40038.39000,8,46422,4642.2200000,0,0,0,5,28646.27000,39500.00,0,0,0,3590.91000,0,0,0,0,5781.43,0,0.180000,10.00,57814.30000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000116,010706,4,4,XX,4,47779.48000,5,63865,6386.3500000,0,0,0,6,73883.63000,97300.00,0,0,0,8845.45000,0,0,0,0,12586.46,0,-1.480000,3.00,37759.38000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000117,010706,3,3,XX,3,27111.15000,4,37380,3737.8900000,0,0,0,4,36527.15000,49200.00,0,0,0,4472.73000,0,0,0,0,9320.97,0,-1.100000,3.00,27962.91000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000120,032502,0,8,XX,2,5561.16000,4,11414,1141.3800000,0,0,0,3,8332.47000,14700.00,0,0,0,1336.36000,0,0,0,0,2880.83,0,-0.200000,3.00,8642.49000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,0,6,XX,5,81723.65000,0,0,0,0,0,0,1,16344.73000,23200.00,0,0,0,2109.09000,0,0,0,0,16344.73,0,0,4.00,65378.92000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,0,13,XX,21,158506.11000,0,0,0,0,0,0,12,90574.86000,120000.00,0,0,0,10909.09000,0,0,-2.00,-15096.00,7547.91,0,0.120000,7.00,52835.37000,D,,,Y,Y,0,0,31,-2,-15096.000000,0,0,,G105,20000,0,0,0,0,0,0,0,0,0
,01,10000129,010108,0,8,XX,3,22569.03000,6,45138,4513.8100000,0,0,0,6,45138.06000,60000.00,0,0,0,5454.55000,0,0,0,0,7523.01,0,0.060000,3.00,22569.03000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000132,011106,3,15,XX,3,153574.92000,0,0,0,0,0,0,1,51191.64000,71500.00,0,0,0,6500.00000,0,0,0,0,51191.64,0,-0.000000,2.00,102383.28000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
