RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,0,11,XX,19,162233.97000,5,42693,4269.3200000,0,0,0,2,17077.26000,19300.00,0,0,0,1754.55000,0,0,0,0,8538.63,0,0.150000,22.00,187849.86000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,0,4,XX,5,42689.50000,2,17077,1707.7300000,0,0,0,2,17076.05000,19300.00,0,0,0,1754.55000,0,0,0,0,8538.15,0,0.300000,5.00,42690.75000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,0,12,XX,22,172857.74000,0,0,0,0,0,0,6,47143.04000,58900.00,0,0,0,5354.55000,0,0,0,0,7857.17,0,0.020000,16.00,125714.72000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,0,4,XX,2,11766.28000,2,12306,1230.6100000,0,0,0,1,6018.10000,9500.00,0,0,0,863.64000,0,0,0,0,6018.10,0,0.120000,3.00,18054.30000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,22,XX,0,0,24,458006,45800.5800000,0,0,0,24,456569.66000,398300.00,0,0,0,36209.09000,0,0,0,0,19083.57,0,-1436.340000,0,0,V,,,Y,Y,0,4,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,4,62203.00000,2,31102,3110.1500000,0,0,0,3,46652.25000,63300.00,0,0,0,5754.55000,0,0,0,0,15550.75,0,-0.500000,3.00,46652.25000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,0,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,0,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915.22,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,0,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,0,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,0,16,XX,4,38024.88000,16,159007,15900.7300000,0,0,0,10,95517.61000,113000.00,0,0,0,10272.73000,0,0,1.00,9563.00,10097.98,0,0.510000,11.00,111077.78000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,11300,0,0,0,0,0,0,0,0
,24,10000090,032404,0,13,XX,13,107802.37000,4,33159,3315.9300000,0,0,0,10,82924.85000,127000.00,0,0,0,11545.45000,0,0,0,0,8290.96,0,0.200000,7.00,58036.72000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,0,3,XX,2,32383.06000,3,48975,4897.5300000,0,0,0,2,32472.11000,42200.00,0,0,0,3836.36000,0,0,0,0,16295.42,0,0.310000,3.00,48886.26000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,4,37020.72000,12,111042,11104.1300000,0,0,0,13,120301.34000,173300.00,0,0,0,15754.55000,0,0,0,0,9253.56,0,-0.700000,3.00,27760.68000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,2,4,XX,3,36679.65000,4,49192,4919.3000000,0,0,0,4,49009.75000,65200.00,0,0,0,5927.27000,0,0,0,0,12287.62,0,0.960000,3.00,36862.86000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,1,3,XX,9,248086.44000,0,0,0,0,0,0,3,82695.49000,113400.00,0,0,0,10309.09000,0,0,0,0,27565.16,0,0.010000,6.00,165390.96000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000103,011105,0,6,XX,6,79554.90000,8,106074,10607.3200000,0,0,0,8,106073.20000,151200.00,0,0,0,13745.45000,0,0,0,0,13259.15,0,-0.800000,6.00,79554.90000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,0,11,XX,12,83287.56000,16,111048,11104.7400000,0,0,0,20,138811.34000,194000.00,0,0,0,17636.36000,0,0,0,0,6940.47,0,-0.460000,8.00,55523.76000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,0,9,XX,6,34527.42000,16,92844,9284.4500000,0,0,0,14,80949.66000,110600.00,0,0,0,10054.55000,0,0,0,0,5802.78,0,0.480000,8.00,46422.24000,,,,Y,Y,0,1,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000116,010706,0,4,XX,6,72393.30000,0,0,0,0,0,0,1,12065.55000,17000.00,0,0,0,1545.45000,0,0,0,0,12065.55,0,0.000000,5.00,60327.75000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000117,010706,3,3,XX,2,18105.90000,9,83871,8386.9700000,0,0,0,8,73721.29000,98100.00,0,0,0,8918.18000,0,0,0,0,9418.09,0,-1.340000,3.00,28254.27000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000120,032502,0,8,XX,4,11099.24000,2,5865,586.5000000,0,0,0,2,5549.63000,9800.00,0,0,0,890.91000,0,0,0,0,2853.66,0,0.030000,4.00,11414.64000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,0,6,XX,4,65369.92000,0,0,0,0,0,0,2,32684.96000,46400.00,0,0,0,4218.18000,0,0,0,0,16342.48,0,0,2.00,32684.96000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,0,13,XX,14,105229.74000,24,180298,18029.7000000,0,0,0,29,217910.81000,290000.00,0,0,0,26363.64000,0,0,1.00,7513.00,7512.86,0,-1.330000,10.00,75128.60000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,10000,0,0,0,0,0,0,0,0
,01,10000129,010108,0,8,XX,6,45206.34000,6,45138,4513.8100000,0,0,0,3,22603.17000,30000.00,0,0,0,2727.27000,0,0,-3.00,-22602.00,7523.01,0,-1.110000,6.00,45138.06000,,,,Y,Y,0,3,31,-3,-22602.000000,0,0,,G105,30000,0,0,0,0,0,0,0,0,0
,11,10000132,011106,1,15,XX,3,160447.32000,0,0,0,0,0,0,3,160447.33000,214500.00,0,0,0,19500.00000,0,0,0,0,53482.44,0,0.010000,0,0,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000133,011101,1,8,XX,3,127804.20000,18,773791,77379.0600000,0,0,0,3,127804.20000,176700.00,0,0,0,16063.64000,0,0,0,0,42988.36,0,-0.520000,18.00,773790.48000,J,,,Y,Y,0,4,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000135,011003,0,4,XX,15,261419.85000,0,0,0,0,0,0,6,104567.96000,143000.00,0,0,0,13000.00000,0,0,0,0,17427.99,0,0.020000,9.00,156851.91000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
