RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,2,11,XX,16,135737.44000,15,128079,12807.9500000,0,0,0,4,33986.79000,40100.00,0,0,0,3645.45000,0,0,0,0,8512.23,0,0.560000,27.00,229830.21000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,2,4,XX,3,25615.89000,4,34154,3415.4500000,0,0,0,2,17077.26000,19300.00,0,0,0,1754.55000,0,0,0,0,8538.63,0,0.520000,5.00,42693.15000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,2,12,XX,21,165065.46000,0,0,0,0,0,0,7,55021.85000,66300.00,0,0,0,6027.27000,0,0,1.00,7860.00,7860.26,0,0.290000,15.00,117903.90000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,9900,0,0,0,0,0,0,0,0
,11,10000052,011104,2,4,XX,2,12123.32000,8,49224,4922.4900000,0,0,0,7,42909.40000,66500.00,0,0,0,6045.45000,0,0,0,0,6146.26,0,0.860000,3.00,18438.78000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,4,30,XX,34,648841.38000,0,0,0,0,0,0,34,648841.48000,689600.00,0,0,0,62690.91000,0,0,0,0,19083.57,0,0.100000,0,0,V,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,4,62203.00000,0,0,0,0,0,0,1,15550.75000,21100.00,0,0,0,1918.18000,0,0,0,0,15550.75,0,0,3.00,46652.25000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,7,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.85,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.50,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,14,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.18,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.46,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
