RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,8,11,XX,21,174837.81000,15,125568,0,0,0,0,7,58317.28000,67700.00,0,0,0,6154.55000,0,0,-4.00,-33304.00,8351.45,0,1.720000,25.00,208786.25000,D,,,Y,Y,0,0,31,-4,-33304.000000,0,0,,G105,40800,0,0,0,0,0,0,0,0,0
,02,10000020,010201,4,4,XX,2,16640.14000,12,100452,0,0,0,0,8,66871.48000,77600.00,0,0,0,7054.55000,0,0,0,0,8370.53,0,2.520000,6.00,50223.18000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,4,12,XX,11,84581.31000,18,138408,0,0,0,0,18,138407.47000,174400.00,0,0,0,15854.55000,0,0,0,0,7689.36,0,1.120000,11.00,84582.96000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,4,4,XX,4,23399.44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5849.86,0,0,4.00,23399.44000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,3,20,XX,0,0,24,449025,0,0,0,0,24,449025.24000,425000.00,0,0,0,38636.55000,0,0,0,0,18709.39,0,0.240000,0,0,V,,,Y,Y,0,14,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,4,60979.24000,2,30492,0,0,0,0,2,30489.62000,42200.00,0,0,0,3836.36000,0,0,0,0,15245.32,0,-0.340000,4.00,60981.28000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,2,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886.13,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5925.00,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,4,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813.90,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,7,44679.60000,0,0,0,0,0,0,3,19148.40000,27300.00,0,0,0,2481.82000,0,0,0,0,6382.80,0,0,4.00,25531.20000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,8,16,XX,14,130888.80000,0,0,0,0,0,0,6,56095.19000,67800.00,0,0,0,6163.64000,0,0,0,0,9349.20,0,-0.010000,8.00,74793.60000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
