RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,2,11,XX,23,192512.07000,10,83712,0,0,0,0,8,66962.51000,78000.00,0,0,0,7090.91000,0,0,0,0,8370.47,0,0.190000,25.00,209261.75000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,2,4,XX,4,33484.84000,8,66968,0,0,0,0,6,50227.25000,59000.00,0,0,0,5363.64000,0,0,0,0,8371.21,0,1.670000,6.00,50227.26000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,2,12,XX,18,137824.38000,6,46136,0,0,0,0,7,53609.18000,66500.00,0,0,0,6045.45000,0,0,0,0,7667.74,0,0.380000,17.00,130351.58000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,3,4,XX,4,23764.28000,0,0,0,0,0,0,1,5941.07000,9500.00,0,0,0,863.64000,0,0,0,0,5941.07,0,-0.000000,3.00,17823.21000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,3,16,XX,31,579991.09000,0,0,0,0,0,0,32,598700.32000,563700.00,0,0,0,51245.45000,0,0,1.00,18709.00,18709.39,0,0.230000,0,0,V,,,Y,Y,0,13,31,0,0,0,0,,G105,0,22900,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,45725.88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15241.96,0,0,3.00,45725.88000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,2,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886.13,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,4,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5925.00,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,4,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813.90,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,2,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6382.80,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,4,16,XX,7,65714.95000,16,161546,0,0,0,0,15,146659.65000,169500.00,0,0,0,15409.09000,0,0,2.00,19720.00,10032.17,0,0.400000,10.00,100321.70000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,22600,0,0,0,0,0,0,0,0
,24,10000090,032404,6,13,XX,6,48763.62000,4,32509,0,0,0,0,6,48763.64000,76200.00,0,0,0,6927.27000,0,0,-1.00,-8127.00,8127.27,0,-0.170000,3.00,24381.81000,L,,,Y,Y,0,0,31,-1,-8127.000000,0,0,,G105,12700,0,0,0,0,0,0,0,0,0
,15,10000097,021502,1,3,XX,3,47815.68000,3,48015,0,0,0,0,3,47859.97000,63300.00,0,0,0,5754.55000,0,0,0,0,15990.24,0,0.010000,3.00,47970.72000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,4,36288.00000,2,18144,0,0,0,0,2,18144.00000,26800.00,0,0,0,2436.36000,0,0,0,0,9072.00,0,0,4.00,36288.00000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
