RECID,DIV,PRDCD,CAT_COD,MIN,MAX,CTGR,SALDO_AWAL,RP_SLD_AWL,TRFIN,RP_TRFIN,RP_PPNIN,TRFOUT,RP_TRFOUT,RP_PPNOUT,SALES,RP_SALES,T_SALES,RETUR,RP_RETUR,T_RETUR,TPPN,HILANG,RP_HILANG,ADJ,RP_ADJ,RCOST,POTONGAN,SESUAI,SALDO_AKH,RP_SLD_AKH,PTAG,KONS,SUPCO,BKP,SUB_BKP,NRB_RSK,STO,HR_JUAL,NKL_MIN,RP_NKLM,BBS_PPN,PPN_PEM,TIPE_GDG,KD_GDG,RP_ADJ_K,RP_ADJ_L,QTY_BA,RP_BA_JUAL,QTY_BS,RP_BS_JUAL,RP_BA_HPP,RP_BS_HPP,PPN_JP,DISC_05
,02,10000019,010201,0,11,XX,17,142310.57000,15,125568,0,0,0,0,7,58598.46000,68400.00,0,0,0,6218.18000,0,0,0,0,8371.21,0,0.140000,25.00,209280.25000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000020,010201,0,4,XX,3,25081.38000,8,66968,0,0,0,0,8,66927.58000,78600.00,0,0,0,7145.45000,0,0,0,0,8370.91,0,-9.070000,3.00,25112.73000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000021,010201,0,14,XX,23,176856.20000,18,138408,0,0,0,0,23,176856.11000,211900.00,0,0,0,19263.64000,0,0,0,0,7689.40,0,1.110000,18.00,138409.20000,S,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000052,011104,0,4,XX,3,18044.43000,4,24130,0,0,0,0,4,24090.15000,38000.00,0,0,0,3454.55000,0,0,0,0,6028.07,0,-0.070000,3.00,18084.21000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,06,10000053,010601,0,16,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17578.42,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000060,010706,3,5,XX,3,45737.49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15245.83,0,0,3.00,45737.49000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000069,021504,0,12,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886.13,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000070,021505,0,10,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5925.00,0,0,0,0,V,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000073,021503,0,20,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813.90,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000077,021503,0,4,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6382.80,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,02,10000088,010201,0,16,XX,5,46206.20000,8,75117,0,0,0,0,6,55878.99000,67800.00,0,0,0,6163.64000,0,0,0,0,9349.13,0,-0.300000,7.00,65443.91000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,24,10000090,032404,0,13,XX,12,97527.24000,0,0,0,0,0,0,3,24381.82000,38100.00,0,0,0,3463.64000,0,0,0,0,8127.27,0,0.010000,9.00,73145.43000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000097,021502,0,3,XX,3,47815.68000,1,16005,0,0,0,0,1,15938.56000,21100.00,0,0,0,1918.18000,0,0,0,0,15960.71,0,0.010000,3.00,47882.13000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000098,021501,5,7,XX,4,36288.00000,2,18144,0,0,0,0,2,18144.00000,26600.00,0,0,0,2418.18000,0,0,0,0,9072.00,0,0,4.00,36288.00000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000101,011005,0,4,XX,6,72341.94000,0,0,0,0,0,0,2,24113.99000,32600.00,0,0,0,2963.64000,0,0,0,0,12056.99,0,0.010000,4.00,48227.96000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000102,011005,0,3,XX,6,160509.96000,0,0,0,0,0,0,4,107006.62000,151200.00,0,0,0,13745.45000,0,0,0,0,26751.66,0,-0.020000,2.00,53503.32000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000103,011105,0,6,XX,6,77995.02000,8,103994,0,0,0,0,10,129991.67000,189000.00,0,0,0,17181.82000,0,0,0,0,12999.17,0,-0.670000,4.00,51996.68000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000104,011105,0,11,XX,6,40826.28000,16,108870,0,0,0,0,17,115674.38000,164900.00,0,0,0,14990.91000,0,0,0,0,6804.38,0,-0.010000,5.00,34021.90000,L,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,04,10000107,010407,0,9,XX,6,33839.52000,8,45512,0,0,0,0,6,33957.32000,47400.00,0,0,0,4309.09000,0,0,0,0,5674.28,0,0.040000,8.00,45394.24000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000116,010706,0,4,XX,5,57993.25000,5,62611,0,0,0,0,6,71254.24000,95100.00,0,0,0,8645.45000,0,0,0,0,12337.47,0,-0.130000,4.00,49349.88000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000117,010706,3,4,XX,4,34936.24000,0,0,0,0,0,0,1,8734.06000,12300.00,0,0,0,1118.18000,0,0,0,0,8734.06,0,-0.000000,3.00,26202.18000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000120,032502,0,8,XX,19,51680.00000,6,17250,0,0,0,0,15,41187.49000,73500.00,0,0,0,6681.82000,0,0,0,0,2774.25,0,-0.010000,10.00,27742.50000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,07,10000126,010709,0,6,XX,11,176132.44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16012.04,0,0,11.00,176132.44000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000128,010108,0,13,XX,6,44252.94000,6,44177,0,0,0,0,3,22126.48000,30000.00,0,0,0,2727.27000,0,0,0,0,7367.08,0,0.260000,9.00,66303.72000,D,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,01,10000129,010108,0,8,XX,4,29502.00000,3,22127,0,0,0,0,1,7375.50000,10000.00,0,0,0,909.09000,0,0,0,0,7375.50,0,-0.500000,6.00,44253.00000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000132,011106,0,15,XX,3,150563.64000,24,1290982,0,0,0,0,1,53390.57000,71500.00,0,0,0,6500.00000,0,0,0,0,53390.57,0,-0.250000,26.00,1388154.82000,J,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,11,10000133,011101,0,8,XX,2,81995.30000,49,2065571,0,0,0,0,3,124584.39000,176700.00,0,0,0,16063.64000,0,0,0,0,42145.45,0,-0.310000,48.00,2022981.60000,J,,,Y,Y,0,3,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,10,10000135,011003,0,4,XX,8,134358.08000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16794.76,0,0,8.00,134358.08000,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,25,10000142,032502,0,8,XX,5,17297.30000,0,0,0,0,0,0,2,6918.93000,13000.00,0,0,0,1181.82000,0,0,0,0,3459.46,0,0.010000,3.00,10378.38000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000143,010302,0,9,XX,22,128873.14000,0,0,0,0,0,0,5,29289.38000,38500.00,0,0,0,3500.00000,0,0,0,0,5857.87,0,0.030000,17.00,99583.79000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000144,021504,0,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11571.56,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,03,10000146,010302,0,5,XX,3,17573.64000,1,5858,0,0,0,0,1,5857.88000,7700.00,0,0,0,700.00000,0,0,0,0,5857.88,0,-0.130000,3.00,17573.64000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000149,021511,0,3,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11232.00,0,0,0,0,T,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000154,021504,0,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885.52,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000155,021504,0,15,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.26,0,0,0,0,,,,0,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
,15,10000159,021504,0,4,XX,7,86963.52000,6,74578,0,0,0,0,9,111827.69000,152100.00,0,0,0,13827.27000,0,0,0,0,12428.45,0,-0.030000,4.00,49713.80000,,,,Y,Y,0,0,31,0,0,0,0,,G105,0,0,0,0,0,0,0,0,0,0
